product_id,product_name,category,brand,unit_cost_krw,unit_price_krw,stock_qty,status
500001,삼성 노트북 라이트 100,노트북,삼성,800000,1200000,50,판매중
500002,LG 데스크탑 프로 200,데스크탑,LG,1100000,1550000,30,판매중
500003,애플 액세서리 패드,액세서리,Apple,150000,220000,200,판매중
500004,MS 소프트웨어 오피스,소프트웨어,MS,200000,350000,500,판매중
500005,삼성 모니터 27인치,모니터,삼성,300000,450000,80,판매중
500006,LG 노트북 울트라,노트북,LG,900000,1350000,25,판매중
500007,삼성 키보드 기계식,액세서리,삼성,80000,120000,150,판매중
500008,구형 프린터 A3,프린터,HP,250000,380000,5,단종
500009,Wi-Fi 공유기,네트워크,TP-Link,50000,89000,100,판매중
500010,태블릿 10인치,태블릿,삼성,400000,580000,40,판매중
500011,외장 SSD 1TB,저장장치,삼성,90000,140000,300,판매중
500012,웹캠 HD,액세서리,로지텍,60000,95000,60,판매중
500013,노트북 가방,액세서리,삼성,35000,59000,0,판매중
500014,서버 랙 42U,서버,Dell,2500000,3200000,3,판매중
500015,구형 스캐너,프린터,Canon,120000,180000,2,단종
